Country,Bank,Card Name,Key Features/Benefits,Joining Fee (INR/AED),Annual Fee (INR/AED),Welcome Offer,Rewards Program,Lounge Access,Other Benefits
India,,,,,,,,,
,HDFC Bank,Millennia,"5% cashback on Amazon, Flipkart, Myntra, Zomato, Swiggy, BookMyShow & Cult.fit. 1% on all other spends.","1,000","1,000",1000 Cash Points,1 Cash Point = ₹0.25 on redemption against statement balance.,8 complimentary domestic lounge visits per year.,1% fuel surcharge waiver.
,,Regalia Gold,"5X Reward Points on Myntra, Nykaa, Marks & Spencer and Reliance Digital.","2,500","2,500",Complimentary MMT Black Elite and Club Vistara Silver Tier membership.,4 Reward Points per ₹150 spent.,12 complimentary domestic and 6 international lounge visits per year.,2% foreign currency markup fee.
,,Diners Club Black,2X Reward Points on weekend dining.,"10,000","10,000","Complimentary memberships from Forbes, Amazon Prime, Swiggy One, and MMT BLACK.",5 Reward Points for every ₹150 spent.,Unlimited domestic and international lounge access for primary and add-on members.,6 complimentary golf games per quarter.
,,IndianOil HDFC Bank,5% of your spends as Fuel Points at IndianOil outlets.,500,500,Up to 50 litres of free fuel annually.,1 Fuel Point = ₹0.96.,-,1% fuel surcharge waiver.
,SBI Card,SimplyCLICK,"10X Reward Points on online spends with exclusive partners - Amazon, BookMyShow, Cleartrip, Lenskart, Netmeds, Myntra, etc.",499,499,Amazon gift card worth ₹500 on joining.,1 Reward Point per ₹100 on all other spends.,-,1% fuel surcharge waiver.
,,SimplySAVE,"10 Reward Points per ₹100 spent on Dining, Movies, Departmental Stores, and Grocery.",499,499,"2,000 bonus Reward Points on spending ₹2,000 in first 60 days.",1 Reward Point per ₹100 on all other spends.,-,1% fuel surcharge waiver.
,,SBI Card ELITE,"5X Reward Points on Dining, Departmental stores, and Grocery spends.","4,999","4,999","e-Gift Voucher worth ₹5,000 on joining.",2 Reward Points per ₹100 on all other spends.,6 complimentary international and 2 domestic lounge visits per year.,Complimentary Club Vistara Silver membership.
,,BPCL SBI Card OCTANE,25X Reward Points on fuel purchases at BPCL petrol pumps.,"1,499","1,499","6,000 bonus Reward Points worth ₹1,500 on payment of annual fee.","10 Reward Points per ₹100 on Dining, Movies, Grocery & Departmental Stores.",4 complimentary domestic lounge visits per year.,1% fuel surcharge waiver.
,ICICI Bank,Amazon Pay ICICI Bank,"5% cashback on Amazon for Prime members, 3% for non-Prime.",Nil,Nil,-,"2% cashback on partner merchants, 1% on all other spends.",-,-
,,ICICI Bank Coral,"2 Reward Points per ₹100 spent. 2X points on dining, groceries, and at supermarkets.",500,500,-,1 Reward Point per ₹100 on utilities and insurance.,1 complimentary domestic lounge visit per quarter.,25% discount up to ₹100 on movie tickets on BookMyShow & Inox.
,,ICICI Bank Sapphiro,4 Reward Points per ₹100 on international spends.,"6,500","3,500","Vouchers for travel and shopping worth ₹10,000+.",2 Reward Points per ₹100 on domestic spends.,4 complimentary domestic and 2 international lounge visits per year.,Complimentary Dreamfolks DragonPass membership.
,Axis Bank,Axis Bank ACE,"5% cashback on bill payments and DTH recharges on Google Pay. 4% on Swiggy, Zomato & Ola. 2% on all other spends.",499,499,-,-,4 complimentary domestic lounge visits per year.,1% fuel surcharge waiver.
,,Flipkart Axis Bank,5% cashback on Flipkart. 4% on partner merchants. 1.5% on all other spends.,500,500,Flipkart voucher worth ₹500.,-,4 complimentary domestic lounge visits per year.,-
,,Axis Bank Magnus,12 EDGE Rewards per ₹200 spent. 2X rewards on Travel EDGE portal.,"12,500","12,500","Luxe gift card/The Postcard Hotels/Yatra voucher worth ₹12,500 on payment of joining fee.",-,Unlimited domestic and international lounge access with 8 guest visits.,Unlimited complimentary international lounge visits with Priority Pass.
,American Express,Membership Rewards®,1 Membership Rewards Point for every ₹50 spent.,"1,000","4,500","4,000 Bonus Membership Rewards Points.",-,-,0% convenience fee on fuel purchases at HPCL.
,,Platinum Travel,1 Membership Rewards Point for every ₹50 spent.,"3,500","5,000","Welcome Gift of 5,000 Milestone Bonus Membership Rewards Points.","Spend ₹1.90 lakhs in a year for travel vouchers worth more than ₹7,700.",8 complimentary domestic lounge visits per year.,-
UAE,,,,,,,,,
,Emirates NBD,Skywards Signature,Earn up to 2 Skywards Miles per USD spend.,700,700,"Up to 10,000 bonus Skywards Miles.",-,Unlimited complimentary access to over 1000 airport lounges worldwide.,"Complimentary golf, valet parking, and movie tickets."
,,dnata World,Earn up to 15% dnata Points on spends at dnata.,499,499,"Up to 10,000 bonus dnata Points.",-,Complimentary access to over 900 airport lounges worldwide.,Buy one get one free movie tickets at Vox Cinemas.
,First Abu Dhabi Bank (FAB),Cashback Card,Up to 5% cashback on all spends.,Nil,Nil,-,-,-,-
,,Etihad Guest Platinum,Earn up to 2.2 Etihad Guest Miles per USD 1 spent.,Nil,500,"10,000 bonus Etihad Guest Miles.",-,Complimentary airport lounge access at select airports.,-
,ADCB,Talabat ADCB,Up to 35% off on Talabat orders.,Nil,Nil,AED 500 Talabat credit.,Earn unlimited TouchPoints.,-,-
,,Lulu Platinum,Up to 5 LuluPoints for every AED 1 spent at Lulu.,Nil,Nil,-,Redeem LuluPoints for vouchers at Lulu.,-,-
,Dubai Islamic Bank,Prime Infinite,Earn up to 1.5 Wala’a Rewards for every AED 1 spent.,"1,500","1,500",-,-,"Unlimited complimentary access to over 1,000 airport lounges.",Complimentary valet parking and movie tickets.
,,Al Islami Platinum Charge,Earn up to 1 Wala’a Reward for every AED 1 spent.,500,500,-,-,Complimentary access to select airport lounges.,-
